Cas,Poruch cepele,Poruch filtru,Poruch stroje,Zatvrdnuti cokolady,Vyrobeno cokolady
477,0,0,0,60,5.435
478,1,1,0,46,4.159
479,0,1,0,11,1.003
480,0,1,0,59,5.28
481,0,0,1,60,5.399
482,0,0,0,60,5.424
483,0,0,0,60,5.395
484,0,0,0,60,5.413
485,0,0,0,60,5.392
486,0,0,0,60,5.455
487,0,0,0,60,5.414
488,0,0,0,60,5.42
489,0,0,0,60,5.39
490,0,1,1,59,5.349
491,0,0,0,60,5.385
492,0,0,1,60,5.376
493,0,0,0,60,5.413
494,0,0,1,60,5.392
495,0,0,0,60,5.409
496,0,0,0,60,5.389
497,0,0,1,60,5.367
498,1,0,1,48,4.302
499,0,0,0,32,2.86
500,0,1,0,60,5.404
501,0,0,0,60,5.372
502,0,0,0,60,5.353
503,0,0,2,60,5.41
504,0,0,0,60,5.421
505,0,0,1,59,5.286
506,0,0,0,61,5.48
507,0,0,0,60,5.384
508,1,0,1,46,4.134
509,0,0,0,25,2.235
510,0,0,0,60,5.406
511,0,0,1,60,5.372
512,0,0,0,60,5.4
513,0,1,0,59,5.3
514,0,0,2,60,5.365
515,0,0,0,60,5.412
516,0,0,0,60,5.378
517,0,0,1,60,5.359
518,0,0,0,60,5.42
519,0,0,0,60,5.397
520,0,0,2,60,5.392
521,0,0,1,60,5.384
